Date,Type,Link
2026-05-17 09:47:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7461459651377913856
2026-05-17 05:01:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7461635438533931009
2026-05-16 18:24:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7460848932013731840
2026-05-10 01:38:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7451006627706556417
2026-05-08 18:22:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7456539468234379264
2026-05-08 18:20:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7457846642096984064
2026-05-07 23:58:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7335961087453863937
2026-05-04 02:55:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7456335060519141376
2026-05-02 04:59:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7455820622556925952
2026-04-30 22:58:46,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7366641205322977280
2026-04-30 22:58:35,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7378573298869121024
2026-04-30 22:58:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7380680792596889600
2026-04-30 22:58:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7385760007499272192
2026-04-30 22:58:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7420675129195556865
2026-04-30 22:58:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7424666980466520064
2026-04-30 22:58:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7432833550980120576
2026-04-29 17:00:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7453870543176433664
2026-04-29 16:59:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7450335110236680194
2026-04-28 20:55:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7453586840617570304
2026-04-26 16:58:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7453552026661330944
2026-04-23 20:15:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7452482556479967232
2026-04-19 04:28:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7450280294210977792
2026-04-19 04:21:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7450966161942290432
2026-04-12 22:50:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7449114507798450176
2026-01-27 19:20:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7419137206239440897
2026-01-10 11:08:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7415675373222432768
2026-01-08 10:16:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7414480327332782080
2025-12-17 07:54:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7404735035431481346
